source_lens,target_lens,source_lens_name,target_lens_name,shared_entity_count,top_shared_entities
lens_06,lens_19,involves,is,10,"human, teacher, children, settings, student"
lens_07,lens_13,values,characterized by,10,"human, united states, algeria, fruit, patola"
lens_15,lens_17,prefer,made from,10,"human, united states, mahr, tailor, tampons"
lens_00,lens_13,uses,characterized by,9,"human, united states, algeria, fruit, bread"
lens_02,lens_05,includes,features,9,"human, fabric, intricate designs, vibrant colors, intricate patterns"
lens_02,lens_13,includes,characterized by,9,"human, intricate designs, vibrant colors, intricate patterns, dakmanda"
lens_03,lens_09,participate in,enjoy,9,"human, united states, teacher, nurse, women"
lens_12,lens_14,expresses,prepares,9,"human, united states, general, artist, chamba rumal"
lens_12,lens_18,expresses,receives,9,"human, united states, greetings, chamba rumal, teliarumal"
lens_00,lens_04,uses,practices,8,"human, united states, nurse, general, quilts"
lens_01,lens_17,performs,made from,8,"human, united states, fabric, textiles, lasingphee"
lens_02,lens_14,includes,prepares,8,"human, fabric, textiles, intricate designs, lunch"
lens_03,lens_06,participate in,involves,8,"human, teacher, children, settings, student"
lens_06,lens_16,involves,varies by,8,"human, teacher, settings, grandchildren, grandparents"
lens_07,lens_18,values,receives,8,"human, united states, family, children, wedding"
lens_08,lens_10,symbolizes,originates from,8,"human, algerian food, muga silk, festival, gamosa"
lens_08,lens_14,symbolizes,prepares,8,"human, intricate designs, discipline, gamosa, funeral"
lens_15,lens_18,prefer,receives,8,"human, united states, people, restaurants, customers"
lens_00,lens_06,uses,involves,7,"human, teacher, children, settings, student"
lens_01,lens_18,performs,receives,7,"human, united states, family, children, food"
lens_02,lens_11,includes,reflects,7,"human, textiles, intricate designs, vibrant colors, intricate patterns"
lens_04,lens_07,practices,values,7,"human, united states, nurse, doctor, artist"
lens_04,lens_11,practices,reflects,7,"human, united states, artist, rural women in west bengal, traditional weaving"
lens_05,lens_17,features,made from,7,"human, fabric, puan, pochampally ikat, pashmina shawl"
lens_11,lens_15,reflects,prefer,7,"human, united states, teacher, air conditioning, convenience"
lens_12,lens_15,expresses,prefer,7,"human, united states, general, tipping, affordability"
lens_17,lens_18,made from,receives,7,"human, united states, navalgund durries, teliarumal, wrapping paper"
lens_00,lens_08,uses,symbolizes,6,"human, new year, algerian food, festival, priest"
lens_02,lens_03,includes,participate in,6,"human, lunch, dhurrie, ari embroidery, weaving"
lens_03,lens_04,participate in,practices,6,"human, united states, nurse, doctor, dhurrie"
lens_03,lens_10,participate in,originates from,6,"human, united states, women, doctor, smoking"
lens_03,lens_18,participate in,receives,6,"human, united states, children, people, visit"
lens_04,lens_10,practices,originates from,6,"human, united states, doctor, architect, karnataka"
lens_04,lens_15,practices,prefer,6,"human, united states, nurse, doctor, general"
lens_06,lens_07,involves,values,6,"human, teacher, children, student, grandchildren"
lens_13,lens_15,characterized by,prefer,6,"human, united states, algeria, fruit, bread"
lens_00,lens_02,uses,includes,5,"human, fabric, lunch, leirum phee, cameras"
lens_00,lens_05,uses,features,5,"human, fabric, tsugdan, venkatagiri cotton, kullu shawl"
lens_02,lens_17,includes,made from,5,"human, fabric, textiles, lepcha thara, wooden blocks"
lens_04,lens_09,practices,enjoy,5,"human, united states, nurse, general, architect"
lens_04,lens_13,practices,characterized by,5,"human, united states, garja dance, kasuti embroidery, rural women in west bengal"
lens_06,lens_11,involves,reflects,5,"human, teacher, settings, confusion, misconceptions"
lens_08,lens_13,symbolizes,characterized by,5,"human, intricate designs, muga silk, pichhora, tawlhlohpuan"
lens_11,lens_18,reflects,receives,5,"human, united states, greetings, greeting, politeness"
lens_01,lens_06,performs,involves,4,"human, teacher, children, drivers"
lens_02,lens_16,includes,varies by,4,"human, textiles, risa, breaks"
lens_03,lens_13,participate in,characterized by,4,"human, united states, folk dance, khamba swang"
lens_04,lens_12,practices,expresses,4,"human, united states, general, artist"
lens_06,lens_09,involves,enjoy,4,"human, teacher, children, eye contact"
lens_06,lens_15,involves,prefer,4,"human, teacher, small talk, public"
lens_09,lens_13,enjoy,characterized by,4,"human, united states, algeria, nature"
lens_10,lens_12,originates from,expresses,4,"human, united states, chamba rumal, madhubani painting on textiles"
lens_12,lens_17,expresses,made from,4,"human, united states, language, teliarumal"
lens_02,lens_04,includes,practices,3,"human, dhurrie, risa"
lens_03,lens_12,participate in,expresses,3,"human, united states, settings"
lens_04,lens_17,practices,made from,3,"human, united states, lambani embroidery"
lens_05,lens_08,features,symbolizes,3,"human, intricate designs, gale"
lens_05,lens_10,features,originates from,3,"human, pochampally ikat, guledgudda khana"
lens_05,lens_16,features,varies by,3,"human, khes, jamdani"
lens_06,lens_12,involves,expresses,3,"human, settings, confusion"
lens_07,lens_08,values,symbolizes,3,"human, new year, priest"
lens_08,lens_16,symbolizes,varies by,3,"human, algerian food, discipline"
lens_12,lens_13,expresses,characterized by,3,"human, united states, pachhra"
lens_13,lens_18,characterized by,receives,3,"human, united states, flowers"
lens_02,lens_08,includes,symbolizes,2,"human, intricate designs"
lens_03,lens_17,participate in,made from,2,"human, united states"
lens_04,lens_05,practices,features,2,"human, traditional weaving"
lens_04,lens_18,practices,receives,2,"human, united states"
lens_05,lens_09,features,enjoy,2,"human, nature"
lens_06,lens_14,involves,prepares,2,"human, teacher"
lens_06,lens_18,involves,receives,2,"human, children"
lens_07,lens_17,values,made from,2,"human, united states"
lens_08,lens_15,symbolizes,prefer,2,"human, discipline"
lens_08,lens_17,symbolizes,made from,2,"human, kullu cap"
lens_08,lens_18,symbolizes,receives,2,"human, algerian food"
lens_09,lens_17,enjoy,made from,2,"human, united states"
