source_id,target_id,source_label,target_label,relation_type,weight,source_dataset
1,14,food,algeria,regulated by laws,1,arabculture
385,1,laws,food,govern,1,arabculture
1,14,food,algeria,eat during work,1,arabculture
1,14,food,algeria,take breaks,1,arabculture
1,14,food,algeria,served at workplace,1,arabculture
73,25,cultural practice,north africa,exists in algeria,1,arabculture
14,386,algeria,university students,return to,1,arabculture
14,387,algeria,end of academic day,after,1,arabculture
386,14,university students,algeria,accommodation for,1,arabculture
388,389,work,for workers,leads to relaxation,1,arabculture
14,390,algeria,immediately after work,return home,1,arabculture
73,391,cultural practice,returning home after work,reflects norm,1,arabculture
14,25,algeria,north africa,applies to,1,arabculture
392,14,action,algeria,performed by,1,arabculture
1,14,food,algeria,varies by,9,arabculture
1,14,food,algeria,performs household duties,1,arabculture
46,14,mother,algeria,cares for,1,arabculture
46,394,mother,nurse,prepares for,1,arabculture
14,394,algeria,nurse,attend,1,arabculture
87,395,brothers,according to ability,helps family,1,arabculture
87,396,brothers,as able,performs domestic tasks,1,arabculture
14,397,algeria,from brother,values assistance,1,arabculture
398,399,domestic tasks,among family members,are shared,1,arabculture
46,400,mother,after dinner,assist daughters,1,arabculture
1,401,food,after meals,participate in household chores,1,arabculture
73,25,cultural practice,north africa,supports family unity,1,arabculture
284,402,leisure activities,by mothers and daughters,performed together,1,arabculture
14,1,algeria,food,enjoy playing,3,arabculture
403,14,street,algeria,playground for,1,arabculture
14,1,algeria,food,express joy through,1,arabculture
14,1,algeria,food,spend leisure time with,1,arabculture
1,14,food,algeria,popular among,4,arabculture
14,404,algeria,using cell phones during free time,prefer,1,arabculture
139,1,free time,food,spent on,1,arabculture
14,405,algeria,watching tv,spend leisure time,1,arabculture
406,407,tv watching,leisure activity,reflects,1,arabculture
14,408,algeria,tv viewing,engage in,1,arabculture
14,1,algeria,food,take family trips,1,arabculture
261,409,algerian society,specific eating customs,observes during ramadan,1,arabculture
14,410,algeria,eating customs,adhere to dining etiquette,1,arabculture
14,411,algeria,according to their customs and traditions,enjoy eating,1,arabculture
14,412,algeria,during communication,use fingers for expression,1,arabculture
14,413,algeria,with 'assalamu alaykum',greet each other,1,arabculture
414,415,greetings,salutation,expresses respect,1,arabculture
73,25,cultural practice,north africa,common in,1,arabculture
416,417,emotion,"peace, respect",conveys,1,arabculture
14,418,algeria,give up on some luxuries,prioritize economy,1,arabculture
14,419,algeria,reduce spending on non-essentials,adjust consumption,1,arabculture
420,421,economic necessity,reduced luxury purchases,leads to,1,arabculture
73,1,cultural practice,food,reflects,1,arabculture
14,1,algeria,food,enjoy giving gifts,1,arabculture
1,14,food,algeria,expresses hospitality,1,arabculture
14,422,algeria,hospitality,values,2,arabculture
423,424,important occasions,algerian social practice,trigger gift-giving,1,arabculture
14,101,algeria,gifts,present gifts elegantly,1,arabculture
101,425,gifts,beautifully wrapped,should be,1,arabculture
14,426,algeria,using common hygiene tools,take simple bath,1,arabculture
1,427,food,simple and basic practice,expressed as,1,arabculture
129,428,hygiene,common cleaning tools,involves,1,arabculture
14,429,algeria,simple bathing,practices,1,arabculture
1,430,food,personal care,is used for,1,arabculture
14,1,algeria,food,use,2,arabculture
1,431,food,by avoiding overlap,respects deadlines,1,arabculture
1,432,food,religious and national events,considers,1,arabculture
14,433,algeria,timeliness,values,1,arabculture
14,434,algeria,religious and national occasions,prioritizes,1,arabculture
14,1,algeria,food,enjoy,4,arabculture
174,435,game,spending time at home,promote,1,arabculture
14,284,algeria,leisure activities,preserves,1,arabculture
14,436,algeria,boy and girl game,play with,1,arabculture
14,1,algeria,food,engage in,2,arabculture
174,437,game,boys and girls,involve,1,arabculture
14,25,algeria,north africa,practice in,1,arabculture
14,438,algeria,sports games,enjoy playing,1,arabculture
14,1,algeria,food,spend time with,1,arabculture
14,171,algeria,at home,play outside,1,arabculture
284,1,leisure activities,food,involve,1,arabculture
14,439,algeria,neighborhoods,fill streets,1,arabculture
14,1,algeria,food,engage in activities,2,arabculture
14,1,algeria,food,value outdoor play,1,arabculture
284,1,leisure activities,food,occur outdoors,1,arabculture
440,1,algerian child,food,plays street games,1,arabculture
1,441,food,cultural life,reflects,1,arabculture
14,442,algeria,outdoor play,enjoy,1,arabculture
1,443,food,childhood experience,part of,1,arabculture
1,444,food,directly,prepares_to_announce_death,1,arabculture
445,1,death_announcement,food,initiated_by,1,arabculture
73,25,cultural practice,north africa,occurs_in,1,arabculture
446,14,cultural_group,algeria,practices,1,arabculture
1,447,food,certain instructions,requires,1,arabculture
448,449,mortal remains,religious guidelines,subject to,1,arabculture
450,451,religion,before burial,instructs,1,arabculture
452,453,islamic faith,burial customs,encompasses,1,arabculture
14,454,algeria,traditions and religion,handle body according to,1,arabculture
1,455,food,cultural and religious practices,treated following,1,arabculture
14,1,algeria,food,respect grave sanctity,1,arabculture
14,1,algeria,food,follow customs,1,arabculture
86,182,customer,ritual,include,1,arabculture
182,150,ritual,nile valley,express grief,1,arabculture
150,182,nile valley,ritual,participate in,1,arabculture
456,1,algerian funeral,food,includes considerations,1,arabculture
150,182,nile valley,ritual,values respect for,1,arabculture
1,457,food,various matters,involve attention to,1,arabculture
14,458,algeria,ceremonies after burial,practices include,1,arabculture
14,459,algeria,according to specific criteria,divides inheritance,1,arabculture
14,460,algeria,for occasions,use traditional musical instruments,1,arabculture
461,14,instruments,algeria,specific to,1,arabculture
73,25,cultural practice,north africa,occurring in,1,arabculture
462,463,music instruments,festivals and events,used during,1,arabculture
464,465,algorithms musical instruments,some celebrations,used during,1,arabculture
14,466,algeria,musical instruments,celebrate with,1,arabculture
14,1,algeria,food,listen to,1,arabculture
14,467,algeria,local music,enjoy,1,arabculture
75,1,teacher,food,pass down,1,arabculture
14,468,algeria,music legacy,possesses cultural heritage,1,arabculture
75,25,teacher,north africa,exists in,1,arabculture
14,469,algeria,traditional_local_songs,characterized_by,1,arabculture
1,470,food,local_culture,reflect,1,arabculture
14,471,algeria,traditional_songs,enjoy,1,arabculture
1,206,food,through generations,pass_down,1,arabculture
14,209,algeria,dance,possesses,1,arabculture
209,472,dance,algeria from other societies,distinguish,1,arabculture
14,209,algeria,dance,perform,1,arabculture
209,14,dance,algeria,reflect,1,arabculture
209,14,dance,algeria,are performed,1,arabculture
73,25,cultural practice,north africa,vary by region,1,arabculture
182,14,ritual,algeria,occur,1,arabculture
473,474,algerian kabyle region,unique dance,possesses,1,arabculture
209,475,dance,specific to kabyle region,characterized by,1,arabculture
209,25,dance,north africa,performed in,1,arabculture
209,1,dance,food,expresses,1,arabculture
14,15,algeria,traditional dishes,known for,1,arabculture
476,15,algiers,traditional dishes,features,1,arabculture
1,86,food,customer,care about,1,arabculture
86,1,customer,food,transmitted to,1,arabculture
478,479,cultural transmission,grandparents and grandchildren,occurs between,1,arabculture
150,1,nile valley,food,engage in planting,1,arabculture
1,101,food,gifts,practiced in north africa,1,arabculture
14,480,algeria,planting,reflects local practices,1,arabculture
14,481,algeria,in their cultivation,plant only permitted plants,1,arabculture
482,483,permitted plants,by algerians,are cultivated,1,arabculture
484,485,cultivation practices,on plant selection,reflect local regulations,1,arabculture
486,487,regional cultures,across north africa,differ in plant choices,1,arabculture
14,171,algeria,at home,grow fruits,1,arabculture
312,488,fruit,by people,grown,1,arabculture
489,1,cultivation,food,occurs,1,arabculture
1,490,food,life_challenges,applies_to,1,arabculture
