node_id,label,level,cultural_group,domain,source_dataset,frequency
50,marry,3,algeria,unknown,arabculture,1
51,entire family,3,algeria,unknown,arabculture,1
52,wedding venue,3,algeria,unknown,arabculture,1
53,bride mary,3,algeria,unknown,arabculture,1
54,wedding celebration location,3,algeria,unknown,arabculture,1
55,sharing joy,3,algeria,unknown,arabculture,1
56,local delicacy,3,algeria,unknown,arabculture,1
57,guests,2,algeria,unknown,arabculture,12
58,rich local cuisine,3,algeria,unknown,arabculture,1
59,local food,3,algeria,unknown,arabculture,1
60,special local dish,3,algeria,unknown,arabculture,1
61,bride's family,3,algeria,unknown,arabculture,1
62,according to customs,3,algeria,unknown,arabculture,1
63,pre-wedding events,3,algeria,unknown,arabculture,1
64,within traditions,3,algeria,unknown,arabculture,1
65,regarding weddings,3,algeria,unknown,arabculture,1
66,day before wedding,3,algeria,unknown,arabculture,1
67,for brides' families,3,algeria,unknown,arabculture,1
68,bride,2,algeria,unknown,arabculture,18
69,months,3,algeria,unknown,arabculture,1
70,for wedding ceremony,3,algeria,unknown,arabculture,1
71,wedding clothes,3,algeria,unknown,arabculture,1
72,bride's effort,3,algeria,unknown,arabculture,1
73,cultural practice,1,algeria,unknown,arabculture,37
74,ceremony,3,algeria,unknown,arabculture,1
75,teacher,1,algeria,unknown,arabculture,185
76,with music,3,algeria,unknown,arabculture,1
77,wedding music,3,algeria,unknown,arabculture,1
78,algerian wedding celebrations,3,algeria,unknown,arabculture,1
79,with groom,3,algeria,unknown,arabculture,1
80,groom,4,algeria,unknown,arabculture,5
81,white dress,3,algeria,unknown,arabculture,1
82,eid al-adha,1,algeria,unknown,arabculture,45
83,near eid al-fitr,3,algeria,unknown,arabculture,1
84,welcoming atmosphere,3,algeria,unknown,arabculture,1
85,on the night of the holiday,3,algeria,unknown,arabculture,1
86,customer,1,algeria,unknown,arabculture,77
87,brothers,2,algeria,unknown,arabculture,11
88,during eid al-adha lunch,3,algeria,unknown,arabculture,1
89,preparation for eid al-adha,3,algeria,unknown,arabculture,1
90,family bnaya,3,algeria,unknown,arabculture,1
91,after sacrificing,3,algeria,unknown,arabculture,1
92,during holidays,3,algeria,unknown,arabculture,10
93,lamb meat,3,algeria,unknown,arabculture,1
94,for sharing,3,algeria,unknown,arabculture,1
95,eid celebration,3,algeria,unknown,arabculture,1
96,taste,3,algeria,unknown,arabculture,1
97,preparations,3,algeria,unknown,arabculture,1
98,one of the most beautiful holidays,3,algeria,unknown,arabculture,1
99,before school,3,algeria,unknown,arabculture,1
100,age,3,algeria,unknown,arabculture,1
101,gifts,1,algeria,unknown,arabculture,56
102,compulsory school symbol,3,algeria,unknown,arabculture,1
103,compulsory,3,algeria,unknown,arabculture,1
104,school uniform,3,algeria,unknown,arabculture,1
105,liyla,3,algeria,unknown,arabculture,1
106,colleagues,3,algeria,unknown,arabculture,1
107,work environment,3,algeria,unknown,arabculture,1
108,prevails,3,algeria,unknown,arabculture,1
109,teamwork,3,algeria,unknown,arabculture,1
110,salmia and her colleagues,3,algeria,unknown,arabculture,1
111,for entertainment,3,algeria,unknown,arabculture,1
112,collective activities,3,algeria,unknown,arabculture,1
113,workmates,3,algeria,unknown,arabculture,1
114,through group events,3,algeria,unknown,arabculture,1
115,algerian work environment,3,algeria,unknown,arabculture,1
116,at four o'clock,3,algeria,unknown,arabculture,1
117,on friday morning,3,algeria,unknown,arabculture,1
118,friday morning,3,algeria,unknown,arabculture,1
119,house cleaning,3,algeria,unknown,arabculture,1
120,household,2,algeria,unknown,arabculture,15
121,cleaning and organizing,3,algeria,unknown,arabculture,1
122,cleaning all windows,3,algeria,unknown,arabculture,1
123,cleaning,3,algeria,unknown,arabculture,9
124,all windows,3,algeria,unknown,arabculture,1
125,helping,3,algeria,unknown,arabculture,1
126,cleaning and cooking,3,algeria,unknown,arabculture,1
127,with effective cleaning materials,3,algeria,unknown,arabculture,1
128,in home,3,algeria,unknown,arabculture,1
129,hygiene,4,algeria,unknown,arabculture,5
130,floor cleaning,3,algeria,unknown,arabculture,1
131,effective cleaning materials,3,algeria,unknown,arabculture,1
132,for deep cleaning,3,algeria,unknown,arabculture,1
133,cleaning the whole house,3,algeria,unknown,arabculture,1
134,making the house clean,3,algeria,unknown,arabculture,1
135,deep cleaning,3,algeria,unknown,arabculture,1
136,hmaram,3,algeria,unknown,arabculture,7
137,activities she loves,3,algeria,unknown,arabculture,1
138,tiring,3,algeria,unknown,arabculture,1
139,free time,3,algeria,unknown,arabculture,9
140,daily life,3,algeria,unknown,arabculture,7
141,eating laws,3,algeria,unknown,arabculture,1
142,when visiting city,3,algeria,unknown,arabculture,1
143,eating culture,3,algeria,unknown,arabculture,1
144,in communication,3,algeria,unknown,arabculture,1
145,hamza,3,algeria,unknown,arabculture,1
146,reliable source,3,algeria,unknown,arabculture,1
147,reliable lenders,3,algeria,unknown,arabculture,1
148,money borrowing,3,algeria,unknown,arabculture,1
149,need arises,3,algeria,unknown,arabculture,1
150,nile valley,1,algeria,unknown,arabculture,183
151,trustworthiness,3,algeria,unknown,arabculture,1
152,european trip,3,algeria,unknown,arabculture,1
153,purchase location,3,algeria,unknown,arabculture,1
154,travel,3,algeria,unknown,arabculture,1
155,for distant relatives,3,algeria,unknown,arabculture,1
156,for wedding,3,algeria,unknown,arabculture,1
157,gifting,3,algeria,unknown,arabculture,1
158,to family,3,algeria,unknown,arabculture,1
159,for gift,3,algeria,unknown,arabculture,1
160,with beautiful wrapping,3,algeria,unknown,arabculture,1
161,socially important,3,algeria,unknown,arabculture,1
162,thoroughly and effectively,3,algeria,unknown,arabculture,1
163,skin care,3,algeria,unknown,arabculture,1
164,priest,2,algeria,unknown,arabculture,21
165,beautiful skin,3,algeria,unknown,arabculture,1
166,sammi's toys,3,algeria,unknown,arabculture,1
167,sammi,3,algeria,unknown,arabculture,1
168,boutoul,3,algeria,unknown,arabculture,1
169,daily at home,3,algeria,unknown,arabculture,1
170,five-year-old boutoul,3,algeria,unknown,arabculture,1
171,at home,2,algeria,unknown,arabculture,22
172,for algerian children,3,algeria,unknown,arabculture,1
173,cousins,3,algeria,unknown,arabculture,1
174,game,2,algeria,unknown,arabculture,21
175,popular children's video games,3,algeria,unknown,arabculture,1
176,without getting bored,3,algeria,unknown,arabculture,1
177,ali and his friends,3,algeria,unknown,arabculture,1
178,play,3,algeria,unknown,arabculture,1
179,widely,3,algeria,unknown,arabculture,1
180,streets and parks,3,algeria,unknown,arabculture,1
181,family of deceased,3,algeria,unknown,arabculture,1
182,ritual,1,algeria,unknown,arabculture,40
183,mourning,3,algeria,unknown,arabculture,1
184,respect for the dead,3,algeria,unknown,arabculture,1
185,through traditions,3,algeria,unknown,arabculture,1
186,burial,3,algeria,unknown,arabculture,1
187,dignified ceremony,3,algeria,unknown,arabculture,1
188,respect for deceased,3,algeria,unknown,arabculture,1
189,ahl al-mait,3,algeria,unknown,arabculture,1
190,after funeral rites,3,algeria,unknown,arabculture,1
191,charity,3,algeria,unknown,arabculture,1
192,in arabic,3,algeria,unknown,arabculture,1
193,preparing charity,3,algeria,unknown,arabculture,1
194,after forty days,3,algeria,unknown,arabculture,1
195,inheritance,3,algeria,unknown,arabculture,1
196,of deceased's possessions,3,algeria,unknown,arabculture,1
197,inheritance distribution,3,algeria,unknown,arabculture,1
198,time period,3,algeria,unknown,arabculture,1
199,forty days after death,3,algeria,unknown,arabculture,1
200,specific lute,3,algeria,unknown,arabculture,1
201,music of sahara,3,algeria,unknown,arabculture,1
202,saharan music,3,algeria,unknown,arabculture,1
203,on eid day,3,algeria,unknown,arabculture,1
204,special occasion,3,algeria,unknown,arabculture,1
205,special songs,3,algeria,unknown,arabculture,1
206,through generations,5,algeria,unknown,arabculture,4
207,tizi ouzou and bejaia,3,algeria,unknown,arabculture,1
208,people of tizi ouzou and bejaia,3,algeria,unknown,arabculture,1
209,dance,2,algeria,unknown,arabculture,22
210,algerian dance,3,algeria,unknown,arabculture,1
211,in southern sahara,3,algeria,unknown,arabculture,1
212,southern sahara,3,algeria,unknown,arabculture,1
213,northern algeria,3,algeria,unknown,arabculture,1
214,on weekends,3,algeria,unknown,arabculture,1
215,weekends,3,algeria,unknown,arabculture,1
216,for families,3,algeria,unknown,arabculture,1
217,eid rituals,3,algeria,unknown,arabculture,1
218,during school holidays,3,algeria,unknown,arabculture,1
219,school holidays,3,algeria,unknown,arabculture,1
220,between grandchildren and grandparents,3,algeria,unknown,arabculture,1
221,algerian tribes,4,algeria,unknown,arabculture,6
222,crops,3,algeria,unknown,arabculture,1
223,enthusiastically,3,algeria,unknown,arabculture,1
224,local product,3,algeria,unknown,arabculture,1
225,algerians from southern region,3,algeria,unknown,arabculture,1
226,foreign countries,3,algeria,unknown,arabculture,1
227,unique cultivation,3,algeria,unknown,arabculture,1
228,agricultural products,3,algeria,unknown,arabculture,1
229,in sekkda,3,algeria,unknown,arabculture,1
230,fruit harvest,3,algeria,unknown,arabculture,1
231,local agriculture,3,algeria,unknown,arabculture,1
232,sadness,3,algeria,unknown,arabculture,1
233,algerian proverb,3,algeria,unknown,arabculture,1
234,man and woman,3,algeria,unknown,arabculture,1
235,hit,3,algeria,unknown,arabculture,1
236,cry,3,algeria,unknown,arabculture,1
237,win race,3,algeria,unknown,arabculture,1
238,to woman,3,algeria,unknown,arabculture,1
239,leaves village,3,algeria,unknown,arabculture,1
240,community shares wisdom,3,algeria,unknown,arabculture,1
241,youth migration,3,algeria,unknown,arabculture,1
242,village life,3,algeria,unknown,arabculture,1
243,leaving for city,3,algeria,unknown,arabculture,1
244,the night of tadbir,3,algeria,unknown,arabculture,1
245,tadbir,3,algeria,unknown,arabculture,1
246,cultural celebration,3,algeria,unknown,arabculture,1
247,algerian weddings,3,algeria,unknown,arabculture,1
248,nighttime festivities,3,algeria,unknown,arabculture,1
249,seeking help,3,algeria,unknown,arabculture,1
250,community support,3,algeria,unknown,arabculture,1
251,helplessness,3,algeria,unknown,arabculture,1
252,person who leaves,3,algeria,unknown,arabculture,1
253,leaves behind daughter,3,algeria,unknown,arabculture,1
254,daughter,3,algeria,unknown,arabculture,1
255,prefers continuity,3,algeria,unknown,arabculture,1
256,social norm,3,algeria,unknown,arabculture,1
257,staying,3,algeria,unknown,arabculture,1
258,strong bonds among siblings,3,algeria,unknown,arabculture,1
259,special relationship,3,algeria,unknown,arabculture,1
260,sibling relationships,3,algeria,unknown,arabculture,1
261,algerian society,2,algeria,unknown,arabculture,19
262,elders,3,algeria,unknown,arabculture,1
263,younger siblings,3,algeria,unknown,arabculture,1
264,north african cultures,3,algeria,unknown,arabculture,1
265,sibling care,3,algeria,unknown,arabculture,1
266,every morning,3,algeria,unknown,arabculture,1
267,milk with chocolate for breakfast,3,algeria,unknown,arabculture,1
268,breakfast time,3,algeria,unknown,arabculture,1
269,start of day,3,algeria,unknown,arabculture,1
270,healthy breakfast habits,3,algeria,unknown,arabculture,1
271,countryside people,3,algeria,unknown,arabculture,1
272,shraib in the morning,3,algeria,unknown,arabculture,1
273,shraib,3,algeria,unknown,arabculture,1
274,beverages,3,algeria,unknown,arabculture,1
275,drinking shraib,3,algeria,unknown,arabculture,1
276,algerian countryside,3,algeria,unknown,arabculture,1
277,waled,3,algeria,unknown,arabculture,1
278,mahjub for lunch,3,algeria,unknown,arabculture,1
279,mahjub,3,algeria,unknown,arabculture,1
280,for mahjub at lunch,3,algeria,unknown,arabculture,1
281,noon,3,algeria,unknown,arabculture,1
282,harissa-stuffed olives tagine,3,algeria,unknown,arabculture,1
283,olives,3,algeria,unknown,arabculture,1
284,leisure activities,1,algeria,unknown,arabculture,28
285,first food of iftar,3,algeria,unknown,arabculture,1
286,sharing iftar among family,3,algeria,unknown,arabculture,1
287,end of fast,3,algeria,unknown,arabculture,1
288,side dish,3,algeria,unknown,arabculture,1
289,bread,5,algeria,unknown,arabculture,4
290,drinks,3,algeria,unknown,arabculture,1
291,meals,3,algeria,unknown,arabculture,1
292,algerian ramadan tradition,3,algeria,unknown,arabculture,1
293,sharing meals,3,algeria,unknown,arabculture,1
294,frikkah,3,algeria,unknown,arabculture,1
295,sharba,3,algeria,unknown,arabculture,1
296,similar dish,3,algeria,unknown,arabculture,1
297,changing dishes,3,algeria,unknown,arabculture,1
298,regional preference,3,algeria,unknown,arabculture,1
299,grilled food,3,algeria,unknown,arabculture,1
300,eating together,3,algeria,unknown,arabculture,1
301,before adhan,3,algeria,unknown,arabculture,1
302,thirst during fasting,3,algeria,unknown,arabculture,1
303,north africans,3,algeria,unknown,arabculture,1
304,suhour tradition,3,algeria,unknown,arabculture,1
305,constantine,3,algeria,unknown,arabculture,1
306,local sweet,3,algeria,unknown,arabculture,1
307,constantine city,3,algeria,unknown,arabculture,1
308,in the desert,3,algeria,unknown,arabculture,1
309,algerian desert,3,algeria,unknown,arabculture,1
310,various crops,3,algeria,unknown,arabculture,1
311,fresh fruits,3,algeria,unknown,arabculture,1
312,fruit,2,algeria,unknown,arabculture,14
313,season,3,algeria,unknown,arabculture,1
314,algerian farmers,3,algeria,unknown,arabculture,1
315,various fruits,3,algeria,unknown,arabculture,1
316,algerian agriculture,3,algeria,unknown,arabculture,1
317,fruit production,3,algeria,unknown,arabculture,1
318,cake with additions,3,algeria,unknown,arabculture,1
319,snacks,2,algeria,unknown,arabculture,16
320,cake,3,algeria,unknown,arabculture,1
321,additions,3,algeria,unknown,arabculture,1
322,evening snacks,3,algeria,unknown,arabculture,1
323,some foods,3,algeria,unknown,arabculture,1
324,cultural preference,3,algeria,unknown,arabculture,1
325,guests at wedding banquet,3,algeria,unknown,arabculture,1
326,wedding banquet,3,algeria,unknown,arabculture,1
327,traditional algerian food,3,algeria,unknown,arabculture,1
328,through food served,3,algeria,unknown,arabculture,1
329,through shared meal,3,algeria,unknown,arabculture,1
330,gold jewelry and gifts,3,algeria,unknown,arabculture,1
331,wealth and generosity,3,algeria,unknown,arabculture,1
332,gold set,3,algeria,unknown,arabculture,1
333,daily necessities,3,algeria,unknown,arabculture,1
334,clothing,3,algeria,unknown,arabculture,8
335,preparing for bride's move,3,algeria,unknown,arabculture,1
336,groom's house,3,algeria,unknown,arabculture,1
337,extended families,3,algeria,unknown,arabculture,1
338,preparation ceremony,3,algeria,unknown,arabculture,1
339,community involvement in marriage,3,algeria,unknown,arabculture,1
340,on wedding day,3,algeria,unknown,arabculture,1
341,algerian customs,3,algeria,unknown,arabculture,1
342,hammam visit,3,algeria,unknown,arabculture,1
343,good fortune,3,algeria,unknown,arabculture,1
344,algerian heritage,3,algeria,unknown,arabculture,1
345,events,3,algeria,unknown,arabculture,1
346,western algeria,3,algeria,unknown,arabculture,1
347,smir,3,algeria,unknown,arabculture,1
348,weeks before,3,algeria,unknown,arabculture,1
349,algerian preparations,3,algeria,unknown,arabculture,1
350,welcoming eid al-adha,3,algeria,unknown,arabculture,1
351,for eid al-fitr celebration,3,algeria,unknown,arabculture,1
352,of ramadan,3,algeria,unknown,arabculture,1
353,to honor religious holidays,3,algeria,unknown,arabculture,1
354,in eid al-fitr,3,algeria,unknown,arabculture,1
355,unspecified customs,3,algeria,unknown,arabculture,1
356,please children,3,algeria,unknown,arabculture,1
357,eid al-adha in algeria,3,algeria,unknown,arabculture,1
358,kabsa,3,algeria,unknown,arabculture,1
359,liver meat,3,algeria,unknown,arabculture,1
360,eid al-adha celebration,3,algeria,unknown,arabculture,1
361,mawlid al-nabi,5,algeria,unknown,arabculture,4
362,special methods,3,algeria,unknown,arabculture,1
363,religious traditions,3,algeria,unknown,arabculture,1
364,fasting,3,algeria,unknown,arabculture,1
365,ras al-sin al-hijri,3,algeria,unknown,arabculture,1
366,islamic traditions,3,algeria,unknown,arabculture,1
367,in first muharram,3,algeria,unknown,arabculture,1
368,first muharram,3,algeria,unknown,arabculture,1
369,muharram,3,algeria,unknown,arabculture,1
370,special customs,3,algeria,unknown,arabculture,1
371,january 1st,3,algeria,unknown,arabculture,1
372,non-religious festivals,3,algeria,unknown,arabculture,1
373,many,3,algeria,unknown,arabculture,1
374,various customs and traditions,3,algeria,unknown,arabculture,1
375,national independence,3,algeria,unknown,arabculture,1
376,annually,3,algeria,unknown,arabculture,1
377,the end of french colonial rule,3,algeria,unknown,arabculture,1
378,in national independence,3,algeria,unknown,arabculture,1
379,annually on may 8,3,algeria,unknown,arabculture,1
380,specific means,3,algeria,unknown,arabculture,1
381,not explicitly stated but implied,3,algeria,unknown,arabculture,1
382,algerian workers,3,algeria,unknown,arabculture,1
383,going to work,3,algeria,unknown,arabculture,1
384,north african culture,3,algeria,unknown,arabculture,1
385,laws,3,algeria,unknown,arabculture,1
386,university students,1,algeria,unknown,arabculture,38
387,end of academic day,3,algeria,unknown,arabculture,1
388,work,1,algeria,unknown,arabculture,23
389,for workers,3,algeria,unknown,arabculture,1
390,immediately after work,3,algeria,unknown,arabculture,1
391,returning home after work,3,algeria,unknown,arabculture,1
392,action,3,algeria,unknown,arabculture,1
393,responsibility,4,algeria,unknown,arabculture,5
394,nurse,1,algeria,unknown,arabculture,157
395,according to ability,3,algeria,unknown,arabculture,1
396,as able,3,algeria,unknown,arabculture,1
397,from brother,3,algeria,unknown,arabculture,1
398,domestic tasks,3,algeria,unknown,arabculture,1
399,among family members,3,algeria,unknown,arabculture,1
400,after dinner,3,algeria,unknown,arabculture,1
401,after meals,3,algeria,unknown,arabculture,1
402,by mothers and daughters,3,algeria,unknown,arabculture,1
403,street,3,algeria,unknown,arabculture,1
404,using cell phones during free time,3,algeria,unknown,arabculture,1
405,watching tv,3,algeria,unknown,arabculture,1
406,tv watching,3,algeria,unknown,arabculture,1
407,leisure activity,3,algeria,unknown,arabculture,1
408,tv viewing,3,algeria,unknown,arabculture,1
409,specific eating customs,3,algeria,unknown,arabculture,1
410,eating customs,3,algeria,unknown,arabculture,1
411,according to their customs and traditions,3,algeria,unknown,arabculture,1
412,during communication,3,algeria,unknown,arabculture,1
413,with 'assalamu alaykum',3,algeria,unknown,arabculture,1
414,greetings,3,algeria,unknown,arabculture,9
415,salutation,3,algeria,unknown,arabculture,1
416,emotion,3,algeria,unknown,arabculture,1
417,"peace, respect",3,algeria,unknown,arabculture,1
418,give up on some luxuries,3,algeria,unknown,arabculture,1
419,reduce spending on non-essentials,3,algeria,unknown,arabculture,1
420,economic necessity,3,algeria,unknown,arabculture,1
421,reduced luxury purchases,3,algeria,unknown,arabculture,1
422,hospitality,3,algeria,unknown,arabculture,8
423,important occasions,3,algeria,unknown,arabculture,1
424,algerian social practice,3,algeria,unknown,arabculture,1
425,beautifully wrapped,3,algeria,unknown,arabculture,1
426,using common hygiene tools,3,algeria,unknown,arabculture,1
427,simple and basic practice,3,algeria,unknown,arabculture,1
428,common cleaning tools,3,algeria,unknown,arabculture,1
429,simple bathing,3,algeria,unknown,arabculture,1
430,personal care,3,algeria,unknown,arabculture,1
431,by avoiding overlap,3,algeria,unknown,arabculture,1
432,religious and national events,3,algeria,unknown,arabculture,1
433,timeliness,3,algeria,unknown,arabculture,1
434,religious and national occasions,3,algeria,unknown,arabculture,1
435,spending time at home,3,algeria,unknown,arabculture,1
436,boy and girl game,3,algeria,unknown,arabculture,1
437,boys and girls,3,algeria,unknown,arabculture,1
438,sports games,3,algeria,unknown,arabculture,1
439,neighborhoods,3,algeria,unknown,arabculture,1
440,algerian child,3,algeria,unknown,arabculture,1
441,cultural life,3,algeria,unknown,arabculture,1
442,outdoor play,3,algeria,unknown,arabculture,1
443,childhood experience,3,algeria,unknown,arabculture,1
444,directly,3,algeria,unknown,arabculture,1
445,death_announcement,3,algeria,unknown,arabculture,1
446,cultural_group,3,algeria,unknown,arabculture,1
447,certain instructions,3,algeria,unknown,arabculture,1
448,mortal remains,3,algeria,unknown,arabculture,1
449,religious guidelines,3,algeria,unknown,arabculture,1
450,religion,4,algeria,unknown,arabculture,5
451,before burial,3,algeria,unknown,arabculture,1
452,islamic faith,3,algeria,unknown,arabculture,1
453,burial customs,3,algeria,unknown,arabculture,1
454,traditions and religion,3,algeria,unknown,arabculture,1
455,cultural and religious practices,3,algeria,unknown,arabculture,1
456,algerian funeral,3,algeria,unknown,arabculture,1
457,various matters,3,algeria,unknown,arabculture,1
458,ceremonies after burial,3,algeria,unknown,arabculture,1
459,according to specific criteria,3,algeria,unknown,arabculture,1
460,for occasions,3,algeria,unknown,arabculture,1
461,instruments,3,algeria,unknown,arabculture,1
462,music instruments,3,algeria,unknown,arabculture,1
463,festivals and events,3,algeria,unknown,arabculture,1
464,algorithms musical instruments,3,algeria,unknown,arabculture,1
465,some celebrations,3,algeria,unknown,arabculture,1
466,musical instruments,3,algeria,unknown,arabculture,1
467,local music,3,algeria,unknown,arabculture,1
468,music legacy,3,algeria,unknown,arabculture,1
469,traditional_local_songs,3,algeria,unknown,arabculture,1
470,local_culture,3,algeria,unknown,arabculture,1
471,traditional_songs,3,algeria,unknown,arabculture,1
472,algeria from other societies,3,algeria,unknown,arabculture,1
473,algerian kabyle region,3,algeria,unknown,arabculture,1
474,unique dance,3,algeria,unknown,arabculture,1
475,specific to kabyle region,3,algeria,unknown,arabculture,1
476,algiers,3,algeria,unknown,arabculture,1
477,ideal conditions provided by their parents,3,algeria,unknown,arabculture,1
478,cultural transmission,3,algeria,unknown,arabculture,1
479,grandparents and grandchildren,3,algeria,unknown,arabculture,1
480,planting,3,algeria,unknown,arabculture,1
481,in their cultivation,3,algeria,unknown,arabculture,1
482,permitted plants,3,algeria,unknown,arabculture,1
483,by algerians,3,algeria,unknown,arabculture,1
484,cultivation practices,3,algeria,unknown,arabculture,1
485,on plant selection,3,algeria,unknown,arabculture,1
486,regional cultures,3,algeria,unknown,arabculture,1
487,across north africa,3,algeria,unknown,arabculture,1
488,by people,3,algeria,unknown,arabculture,1
489,cultivation,3,algeria,unknown,arabculture,1
490,life_challenges,3,algeria,unknown,arabculture,1
491,women need men,3,algeria,unknown,arabculture,1
492,people of algeria,3,algeria,unknown,arabculture,1
493,bread of home eaten by stranger,3,algeria,unknown,arabculture,1
494,appreciation for local resources,3,algeria,unknown,arabculture,1
495,stranger,3,algeria,unknown,arabculture,1
496,home of others,3,algeria,unknown,arabculture,1
497,local resources,3,algeria,unknown,arabculture,1
498,what is lost is lost,3,algeria,unknown,arabculture,1
499,amal,3,algeria,unknown,arabculture,1
500,what feels the embers is only i know,3,algeria,unknown,arabculture,1
501,embers,3,algeria,unknown,arabculture,1
502,unknown risks,3,algeria,unknown,arabculture,1
503,for staying up late,3,algeria,unknown,arabculture,1
504,algerian brothers,3,algeria,unknown,arabculture,1
505,companionship,3,algeria,unknown,arabculture,1
506,necessary needs,3,algeria,unknown,arabculture,1
507,fava beans,2,egypt,unknown,arabculture,13
508,fava beans for breakfast,3,egypt,unknown,arabculture,1
509,oil,3,egypt,unknown,arabculture,1
510,fava bean fritters,3,egypt,unknown,arabculture,1
511,meal time tradition,3,egypt,unknown,arabculture,1
512,cheese and pita bread,3,egypt,unknown,arabculture,1
513,shared among communities,3,egypt,unknown,arabculture,1
514,consuming iftar after sunset,3,egypt,unknown,arabculture,1
515,strawberries,3,egypt,unknown,arabculture,1
516,shared morning meal,3,egypt,unknown,arabculture,1
517,"lentils, rice, meat",3,egypt,unknown,arabculture,1
518,lentils,3,egypt,unknown,arabculture,1
519,rice,3,egypt,unknown,arabculture,1
520,"rice, lentils, fried onions, tomato sauce, and crispy fried bread",3,egypt,unknown,arabculture,1
521,koshari for lunch,3,egypt,unknown,arabculture,1
522,lunchtime,3,egypt,unknown,arabculture,1
523,koshari in egypt,3,egypt,unknown,arabculture,1
524,traditional meals,3,egypt,unknown,arabculture,1
525,ahmed's meal,3,egypt,unknown,arabculture,1
526,grilled meat dishes,3,egypt,unknown,arabculture,1
527,grilled fish,3,egypt,unknown,arabculture,1
528,traditional egyptian meals,3,egypt,unknown,arabculture,1
529,prepare traditional meal,3,egypt,unknown,arabculture,1
530,hospitality value,3,egypt,unknown,arabculture,1
531,for dinner,3,egypt,unknown,arabculture,1
532,henaa,3,egypt,unknown,arabculture,1
533,potatoes with chicken and soup,3,egypt,unknown,arabculture,1
534,potatoes,3,egypt,unknown,arabculture,1
535,oven,3,egypt,unknown,arabculture,1
536,chicken and soup,3,egypt,unknown,arabculture,1
537,hareesa with lentils and bread,3,egypt,unknown,arabculture,1
538,meal during iftar,3,egypt,unknown,arabculture,1
539,lentil soup and bread,3,egypt,unknown,arabculture,1
540,family tradition,3,egypt,unknown,arabculture,1
541,preparing hareesa,3,egypt,unknown,arabculture,1
542,roasted chicken stuffed with onions,3,egypt,unknown,arabculture,1
543,ramadan fasting and breaking it,3,egypt,unknown,arabculture,1
544,roasted chicken,3,egypt,unknown,arabculture,1
545,onions,3,egypt,unknown,arabculture,1
546,chicken for iftar,3,egypt,unknown,arabculture,1
547,taking suhoor,3,egypt,unknown,arabculture,1
548,sacred month,3,egypt,unknown,arabculture,1
549,southern egyptians,3,egypt,unknown,arabculture,1
550,suhoor meal,3,egypt,unknown,arabculture,1
551,consuming milk for suhoor,3,egypt,unknown,arabculture,1
552,"serving sahur with yogurt, cucumber, water",3,egypt,unknown,arabculture,1
553,hydration during sahur,3,egypt,unknown,arabculture,1
