source_id,target_id,source_label,target_label,relation_type,weight,source_dataset
89,90,fabric,"poplin, satin, twill, chambray, oxford, corduroy, cambric",include,1,diwali
92,93,united states,mising tribe,includes,1,diwali
95,96,traditional american dishes,food consumption,included_in,1,culturebank
97,96,processed foods,food consumption,included_in,1,culturebank
27,96,algeria,food consumption,included_in,1,culturebank
98,99,spain and united states,child and dog-friendly culture,include,1,culturebank
42,100,breakfast,large meals,includes,1,culturebank
42,101,breakfast,coffee,includes,1,culturebank
102,103,online communication,various forms,includes,1,culturebank
105,106,terms for chickpeas,'chickpeas' or 'garbanzo beans',include,1,culturebank
27,107,algeria,traditional and modern,include,1,culturebank
27,109,algeria,various social and entertainment,include,1,culturebank
110,111,reasons,personal or professional,include,1,culturebank
116,117,activities,dressing up,include,1,culturebank
116,118,activities,carving pumpkins,include,1,culturebank
116,119,activities,giving out candy,include,1,culturebank
120,121,beauty,landscapes and wonders,include,1,culturebank
27,124,algeria,revisiting classes,include,1,culturebank
125,126,social interactions,eye contact,include,1,culturebank
127,128,sleep schedule,going to bed early,includes,1,culturebank
129,130,american lifestyle,common practices,include,1,culturebank
27,131,algeria,dressing casually,include,1,culturebank
27,132,algeria,wearing less clothing,include,1,culturebank
27,133,algeria,grocery stores and homes,include,1,culturebank
135,136,discipline,spanking,include,1,culturebank
135,137,discipline,setting consequences,include,1,culturebank
138,139,nightlife activities,clubbing,include,1,culturebank
27,142,algeria,geography,includes,1,culturebank
27,143,algeria,work ethic,includes,1,culturebank
58,144,burgers,homemade options,include,1,culturebank
125,145,social interactions,honesty,include,1,culturebank
9,146,wedding celebrations,solemnity,include,1,culturebank
36,147,morning,taking naps,include,1,culturebank
116,148,activities,"living, slowing down",include,1,culturebank
149,150,communication,asking questions,includes,1,culturebank
149,151,communication,expressing opinions,includes,1,culturebank
27,152,algeria,"apples with peanut butter, cheese or yogurt",include,1,culturebank
27,156,algeria,"confusion, preparation, comparison",include,1,culturebank
27,157,algeria,mall,include,1,culturebank
27,158,algeria,grocery store,include,1,culturebank
149,159,communication,"handshakes, hugs, phrases",includes,1,culturebank
27,160,algeria,work environment,include,1,culturebank
27,165,algeria,"school, workplace, and public spaces",include,1,culturebank
27,166,algeria,insurance and preschool expenses,includes,1,culturebank
167,168,news broadcasting,entertainment,include,1,culturebank
169,170,school cafeteria,local dishes,includes,1,blend
171,172,algerian tradition,singing and dancing,includes,1,blend
174,175,university entrance exam,required subjects,includes,1,blend
177,178,workday structure,lunch break,includes,1,blend
179,27,picnic,algeria,includes,1,blend
9,180,wedding celebrations,sharing gifts,includes,1,blend
27,182,algeria,staple dishes,includes,1,blend
183,36,condolence offering,morning,includes,1,blend
27,184,algeria,eid al-fitr,include,1,blend
9,185,wedding celebrations,"feasting, dancing",include,1,blend
186,187,festival_accessories,clothing_items,include,1,blend
191,192,soups,"chickpeas, lentils, vegetables",include,1,blend
194,195,typical gifts,handmade items,include,1,blend
198,199,traditional algerian desserts,"pastila, couscous with honey",include,1,blend
200,201,international events,fifa world cup,include,1,blend
202,203,team-building activities,group exercises,include,1,blend
29,206,gifts,items,include,2,blend
207,208,common activities,park visits,include,1,blend
209,27,common sports,algeria,include,1,blend
27,210,algeria,"headscarves, long sleeves",include,1,blend
27,211,algeria,special clothing,includes,1,blend
27,213,algeria,"fish, seafood, grilled meat",includes,1,blend
214,215,daily exercise,physical activities,includes,1,blend
216,217,daily meals,"breakfast, lunch, dinner",include,1,blend
218,219,education system,religious studies,include,1,blend
222,223,instruction,lighting candle,includes,1,candle
225,226,routine appointment,check for bruxism,includes,1,candle
